Meldedatum;BundeslandID;Bundesland;NormalBettenBelCovid19;IntensivBettenKapGes;IntensivBettenBelCovid19;IntensivBettenBelNichtCovid19;IntensivBettenFrei;TestGesamt
16.07.2021 00:00:00;1;Burgenland;2;58;0;33;25;2345173
16.07.2021 00:00:00;2;Kärnten;12;176;2;143;31;2413306
16.07.2021 00:00:00;3;Niederösterreich;10;333;9;231;93;12154232
16.07.2021 00:00:00;4;Oberösterreich;5;279;2;189;88;9448210
16.07.2021 00:00:00;5;Salzburg;3;133;0;107;26;3708698
16.07.2021 00:00:00;6;Steiermark;5;338;2;254;82;8272861
16.07.2021 00:00:00;7;Tirol;3;190;1;134;55;5285321
16.07.2021 00:00:00;8;Vorarlberg;0;52;0;33;19;3682921
16.07.2021 00:00:00;9;Wien;31;489;21;0;0;13809541
16.07.2021 00:00:00;10;Österreich;71;2048;37;1249;762;61120263
